{
    strings:
    {
    "HASTEREAPR_ASSASSIN_NAME" : "Ассасин",
    "HASTEREAPR_ASSASSIN_DESCRIPTION" : "Ассасин сражается на средней дистанции и использует яд, чтобы наносить урон врагам с течением времени.<color=#CCD3E0>\n\n< ! > Кинжалы отлично подходят для борьбы с одиночными целями.\n\n< ! > Яд хорошо подходит для борьбы с толпами врагов.\n\n< ! > Прицелиться для телепортации может быть непросто, потому что снаряд обладает баллистикой, поэтому направляйте прицел чуть выше того места, куда вы хотите телепортироваться.\n\n< ! > Боевой клич отлично подходит для использования при активации события телепорта.\n\n",
    "HASTEREAPR_ASSASSIN_SUBTITLE" : "Молчаливый Профессионал Ядов",
    "HASTEREAPR_ASSASSIN_LORE" : "Некогда почитаемый как гений алхимии, Ассасин должен был оставить неизгладимый след в истории. Они показали непревзойденную склонность к приготовлению зелий, которые могли сделать всё, что только можно пожелать. Под руководством уважаемых алхимиков, они отточили своё мастерство и заслужили репутацию самых способных алхимиков в мире.Однако со временим ими овладела жадность, к чему общество алхимиков отнеслось с неодобрением. Это привело к тому, что они покинули общество, которое их наставляло.\n\nИх безмерная жадность и ненависть к алхимическому обществу, в котором они выросли, привели Ассасина на темный путь, о котором они и мечтать не могли. Охваченные жадностью и желанием прославиться, они обратили свой опыт на более темные цели. Они потратили месяцы на приготовление своего самого смертоносного зелья - нейротоксина, настолько смертоносного, что он лишал жизни любого, кто вдыхал его пары. Зная, что им этого не пережить, они приготовили противоядие и пропитали им свои плащи.\n\nОни приобрели дурную славу безжалостных и неуловимых охотников за головами. К их услугам прибегали как преступники, так и полевые командиры, а яд стал их фирменным стилем убийства, фактически служа визитной карточкой. Они использовали свои навыки варки для приготовления других зелий, которые могли изменять их молекулярную структуру, и других, которые могли заставить их тело исчезнуть в мгновение ока.\n\nПовторив свой предыдущий яд, они придумали нечто гораздо более опасное.Этот новый яд был способен выводить все свои токсины почти мгновенно, с побочным эффектом, он задерживается в воздухе.Это позволяло им убивать целые комнаты людей одним зельем.\n\nИм поручили убить Captain of the U.S.S. Safe Travels, однако после приземления они почувствовали мощное потустороннее присутствие, увлекающее их по пути, который становился все темнее и глубже.",
    "HASTEREAPR_ASSASSIN_OUTRO_FLAVOR" : "..и они ушли, чтобы получить свою высшую награду.",
    "HASTEREAPR_ASSASSIN_OUTRO_FAILURE" : "..и они исчезли, не оставив и следа от дыма.",
    "HASTEREAPR_ASSASSIN_EXPLOSIVEDECOY_NAME" : "Приманка Ассасина",
    "HASTEREAPR_ASSASSIN_KEYWORD_DAGGER_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>метните 4 кинжала",
    "HASTEREAPR_ASSASSIN_KEYWORD_GHOSTLY_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>минимальный урон увеличен до <style=cIsDamage>75%</style>.",
    "HASTEREAPR_ASSASSIN_KEYWORD_POISON_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>бросьте сгруппированное зелье в более слабых врагов.",
    "HASTEREAPR_ASSASSIN_KEYWORD_VENOM_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>бросьте 2 зелья веером",
    "HASTEREAPR_ASSASSIN_KEYWORD_TELEPORT_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>бросьте телепортационное зелье быстрее и при телепортации взорвитесь ядовитым облаком.",
    "HASTEREAPR_ASSASSIN_KEYWORD_ROLL_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>перекат накладывает эффект боевого знамени",
    "HASTEREAPR_ASSASSIN_KEYWORD_DECOY_WC" : "<style=cKeywordName>Рвение</style>\n<style=cIsUtility>Находясь под эффектом Боевого Клича, </style>разбрасывайте яды по своему следу",
    "HASTEREAPR_ASSASSIN_DEFAULT_SKIN_NAME" : "По умолчанию",
    "HASTEREAPR_ASSASSIN_MASTERY_SKIN_NAME" : "Высший",
    "HASTEREAPR_ASSASSIN_GRAND_MASTERY_SKIN_NAME" : "Божественный",
    "HASTEREAPR_ASSASSIN_PASSIVE_NAME" : "Ярость Безумного Бога",
    "HASTEREAPR_ASSASSIN_PASSIVE_DESCRIPTION" : "При получении урона ниже <style=cIsHealth>60% от максимального здоровья</style> увеличьте вашу скорость атаки и наносимый урон на <style=cIsDamage>7.5% за стак</style>, на <style=cIsUtility>3 секунды.</style>",
    "HASTEREAPR_ASSASSIN_ALT_PASSIVE_NAME" : "Ядовитый ужас",
    "HASTEREAPR_ASSASSIN_ALT_PASSIVE_DESCRIPTION" : "Попадание в цель отбрасывает яд в направлении урона, нанося <style=cIsDamage>250% урона</style> плюс дополнительные <style=cIsDamage>500% с течением времени</style>.",
    "HASTEREAPR_ASSASSIN_ALT1_PASSIVE_NAME" : "Уловка ловкача",
    "HASTEREAPR_ASSASSIN_ALT1_PASSIVE_DESCRIPTION" : "Попадание в цель имеет <style=cIsUtility>5%</style> шанс создать приманку, которая живет 5 секунд и взрывается нанося <style=cIsDamage>1500% урона</style>.",
    "HASTEREAPR_ASSASSIN_PRIMARY_DAGGER_NAME" : "Кинжал",
    "HASTEREAPR_ASSASSIN_PRIMARY_DAGGER_DESCRIPTION" : "<style=cIsUtility>Ловкий. </style>Кидайте 2 кинжала нанося <style=cIsDamage>100% урона</style>.",
    "HASTEREAPR_ASSASSIN_PRIMARY_CUTTER_NAME" : "Призрачный кинжал",
    "HASTEREAPR_ASSASSIN_PRIMARY_CUTTER_DESCRIPTION" : "<style=cIsUtility>Ловкий. </style>Кидайте 1 кинжал нанося <style=cIsDamage>от 30% до 200% урона</style>.",
    "HASTEREAPR_ASSASSIN_SECONDARY_POISON_NAME" : "Яд",
    "HASTEREAPR_ASSASSIN_SECONDARY_POISON_DESCRIPTION" : "<style=cIsUtility>Ловкий. </style>Кидайте ядовитое зелье на <style=cIsDamage>250% урона</style> плюс дополнительные <style=cIsDamage>500% в течении времени.</style>",
    "HASTEREAPR_ASSASSIN_SECONDARY_POISON_DESCRIPTION_SCEPTER" : "<style=cIsUtility>Ловкий. </style>Кидайте сгруппированное ядовитое зелье нанося <style=cIsDamage>250% урона</style> плюс дополнительные <style=cIsDamage>500% урона в течении времени, каждый.</style> \n\n<style=cKeywordName>Находясь под эффектом Боевого Клича, бросьте рекурсивно сгруппированное зелье в более слабых врагов.</style>",
    "HASTEREAPR_ASSASSIN_SECONDARY_POISON_NAME_ALT" : "Ядовитый веном",
    "HASTEREAPR_ASSASSIN_SECONDARY_POISON_DESCRIPTION_ALT" : "<style=cIsUtility>Ловкий. </style>Бросьте продолжительное зелье нанося <style=cIsDamage>500% урона.</style> <style=cIsUtility>Токсины задерживаются на 5 секунд.</style> <style=cDeath>Не вызывает отравления.</style>",
    "HASTEREAPR_ASSASSIN_SCEPTER_SECONDARY_POISON_DESCRIPTION_ALT" : "<style=cIsUtility>Ловкий. </style>Бросьте 2 продолжительных зелья веером нанося <style=cIsDamage>500% урона.</style> <style=cIsUtility>Токсины задерживаются на 5 секунд.</style> <style=cDeath>Не вызывает отравления.</style>",
    "HASTEREAPR_ASSASSIN_UTILITY_CLOAK_NAME" : "Телепорт",
    "HASTEREAPR_ASSASSIN_UTILITY_CLOAK_DESCRIPTION" : "Бросьте зелье в сторону вашего курсора<style=cIsUtility>телепотирует вас туда, куда он приземлится</style> затем киньте зелье под себя, <style=cIsUtility>превращаясь в облако дыма, вы получаете эффект Скорости.</style>",
    "HASTEREAPR_ASSASSIN_UTILITY_ROLL_NAME" : "Маскировка",
    "HASTEREAPR_ASSASSIN_UTILITY_ROLL_DESCRIPTION" : "Перекатывайтесь вперед, становясь невидимиым и немного увиличивая скорость передвижения.",
    "HASTEREAPR_ASSASSIN_UTILITY_DECOY_NAME" : "Призма-приманка",
    "HASTEREAPR_ASSASSIN_UTILITY_DECOY_DESCRIPTION" : "Бросайтесь вперед, оставляя взывающуюся приманку на прежнем месте.",
    "HASTEREAPR_ASSASSIN_SPECIAL_POISON_SPAM_NAME" : "Боевой Клич",
    "HASTEREAPR_ASSASSIN_SPECIAL_POISON_SPAM_DESCRIPTION" : "<style=cIsUtility>Усильте себя и все свои способности на 5 секунд</style>",
    "HASTEREAPR_ASSASSIN_SPECIAL_BACKSTAB_NAME" : "Спинномозговая пункция",
    "HASTEREAPR_ASSASSIN_SPECIAL_BACKSTAB_DESCRIPTION" : "Наносите удар врагам на <style=cIsDamage>750% урона. </style><style=cIsUtility>Нанося урон менее сильному врагу со спины, вы</style> <style=cIsHealth>мгновенно убьёте его.</style> При нанесении удара боссу со спины <style=cIsUtility>2%</style> шанс <style=cIsHealth>мгновенно убить его.</style> Если это не удастся, нанесите <style=cIsDamage>20% от здоровья цели.</style>",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_MASTERYACHIEVEMENT_NAME" : "Ассасин: Мастерство",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_MASTERYACHIEVEMENT_DESCRIPTION" : "Играя за Ассасина, пройдите игру или уничтожьтесь на уровне сложности «Сезон дождей» или выше.",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_GRANDMASTERYACHIEVEMENT_NAME" : "Ассасин: Великое мастерство",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_GRANDMASTERYACHIEVEMENT_DESCRIPTION" : "Играя за Ассасина, пройдите игру или уничтожьтесь на уровне сложности «Тайфун» или выше.",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_POISONACHIEVEMENT_NAME" : "Ассасин: Смертоносная смесь",
    "ACHIEVEMENT_HASTEREAPR_ASSASSIN_POISONACHIEVEMENT_DESCRIPTION" : "Играя за Ассасина, примените 10 стаков Яда на одного врага",
    }
}
